timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534117003979,30782,53546,200,OK,Thread Group 1-1,text,true,,527620,14951,6,6,28310,0,81
1534117003912,30782,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527620,14951,6,6,28310,77,81
1534117027915,6893,53546,200,OK,Thread Group 1-5,text,true,,527620,14951,6,6,4374,0,12
1534117027914,6893,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527620,14951,6,6,4374,2,12
1534117021915,12898,53546,200,OK,Thread Group 1-4,text,true,,527667,14951,6,6,10374,0,15
1534117021914,12898,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527667,14951,6,6,10374,2,15
1534117009914,24900,53546,200,OK,Thread Group 1-2,text,true,,527620,14951,6,6,22375,0,15
1534117009914,24900,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527620,14951,6,6,22375,2,15
1534117015914,18903,53546,200,OK,Thread Group 1-3,text,true,,527667,14951,6,6,16375,0,13
1534117015913,18903,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527667,14951,6,6,16375,3,13
1534117033921,1773,53546,200,OK,Thread Group 1-6,text,true,,527667,14951,6,6,739,0,15
1534117033914,1773,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527667,14951,6,6,739,8,15
1534117034772,2223,53546,200,OK,Thread Group 1-1,text,true,,527620,14951,6,6,1145,0,16
1534117034771,2223,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527620,14951,6,6,1145,4,16
1534117034819,2345,53546,200,OK,Thread Group 1-3,text,true,,527667,14951,6,6,1202,0,12
1534117034819,2345,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527667,14951,6,6,1202,1,12
1534117034815,2784,53546,200,OK,Thread Group 1-4,text,true,,527643,14951,6,6,1441,0,17
1534117034814,2784,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527643,14951,6,6,1441,2,17
1534117034816,2790,53546,200,OK,Thread Group 1-2,text,true,,527667,14951,6,6,1505,0,18
1534117034816,2790,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527667,14951,6,6,1505,1,18
1534117035696,2049,53546,200,OK,Thread Group 1-6,text,true,,527620,14951,6,6,1013,0,0
1534117035695,2049,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527620,14951,6,6,1013,1,0
1534117034810,3798,53546,200,OK,Thread Group 1-5,text,true,,527667,14951,6,6,2751,0,18
1534117034809,3798,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527667,14951,6,6,2751,2,18
1534117036999,1933,53546,200,OK,Thread Group 1-1,text,true,,527643,14951,6,6,759,0,0
1534117036998,1933,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527643,14951,6,6,759,1,0
1534117037746,1922,53546,200,OK,Thread Group 1-6,text,true,,527667,14951,6,6,850,0,0
1534117037746,1922,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527667,14951,6,6,850,1,0
1534117037165,2512,53546,200,OK,Thread Group 1-3,text,true,,527643,14951,6,6,1395,0,0
1534117037165,2512,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527643,14951,6,6,1395,1,0
1534117037601,2107,53546,200,OK,Thread Group 1-4,text,true,,527620,14951,6,6,1016,0,0
1534117037600,2107,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527620,14951,6,6,1016,2,0
1534117037607,2259,53546,200,OK,Thread Group 1-2,text,true,,527620,14951,6,6,1191,0,0
1534117037607,2259,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527620,14951,6,6,1191,1,0
1534117038610,1823,53546,200,OK,Thread Group 1-5,text,true,,527667,14951,7,7,747,0,0
1534117038609,1823,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527667,14951,7,7,747,1,0
1534117038933,1734,53546,200,OK,Thread Group 1-1,text,true,,527667,14951,7,7,726,0,0
1534117038933,1734,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527667,14951,7,7,726,1,0
1534117039678,2472,53546,200,OK,Thread Group 1-3,text,true,,527667,14951,7,7,1150,0,0
1534117039678,2472,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527667,14951,7,7,1150,1,0
1534117039670,2489,53546,200,OK,Thread Group 1-6,text,true,,527620,14951,7,7,1177,0,12
1534117039669,2489,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527620,14951,7,7,1177,1,12
1534117039709,2608,53546,200,OK,Thread Group 1-4,text,true,,527620,14951,7,7,1537,0,0
1534117039709,2608,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527620,14951,7,7,1537,1,0
1534117039867,2561,53546,200,OK,Thread Group 1-2,text,true,,527667,14951,7,7,1482,0,0
1534117039867,2561,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527667,14951,7,7,1482,1,0
1534117039922,2656,53546,200,OK,Thread Group 1-7,text,true,,527620,14951,7,7,1479,0,13
1534117039921,2656,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,527620,14951,7,7,1479,1,13
1534117040434,2382,53546,200,OK,Thread Group 1-5,text,true,,527620,14951,7,7,1349,0,17
1534117040434,2382,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527620,14951,7,7,1349,1,17
1534117040668,2812,53546,200,OK,Thread Group 1-1,text,true,,527667,14951,7,7,1774,0,0
1534117040668,2812,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527667,14951,7,7,1774,1,0
1534117042160,1906,53546,200,OK,Thread Group 1-6,text,true,,527667,14951,7,7,879,0,0
1534117042159,1906,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527667,14951,7,7,879,1,0
1534117042319,1900,53546,200,OK,Thread Group 1-4,text,true,,527667,14951,7,7,820,0,0
1534117042318,1900,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527667,14951,7,7,820,1,0
1534117042430,1820,53546,200,OK,Thread Group 1-2,text,true,,527620,14951,7,7,816,0,0
1534117042429,1820,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527620,14951,7,7,816,2,0
