timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536299706159,1558,Send Start Of Experiment,200,OK,setUp Thread Group 1-1,text,true,,234,412,1,1,1555,0,121
1536299713879,2527,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4177,442,2,2,2527,0,12
1536299707860,8543,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4173,442,2,2,8543,0,12
1536299716413,114,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4174,442,2,2,114,0,13
1536299716412,116,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4176,442,2,2,116,0,11
1536299716531,85,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4176,442,2,2,85,0,0
1536299716531,86,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4177,442,2,2,86,0,0
1536299716620,82,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4175,442,2,2,82,0,0
1536299716622,85,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4174,442,2,2,85,0,0
1536299716708,86,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4174,442,2,2,86,0,0
1536299716710,85,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4171,442,2,2,84,0,0
1536299716797,84,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4173,442,2,2,84,0,0
1536299716796,86,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4179,442,2,2,85,0,0
1536299716884,85,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4175,442,2,2,84,0,0
1536299716884,90,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4175,442,2,2,90,0,0
1536299716971,85,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4177,442,2,2,82,0,0
1536299716977,79,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4175,442,2,2,79,0,0
1536299717060,78,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4174,442,2,2,78,0,0
1536299717060,87,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4171,442,2,2,87,0,0
1536299717141,86,Playstation 4,404,Not Found,Thread Group 1-2,text,false,,4174,442,2,2,86,0,0
1536299717150,78,Playstation 4,404,Not Found,Thread Group 1-1,text,false,,4175,442,1,1,78,0,0
1536299719888,74,Playstation 4,404,Not Found,Thread Group 1-3,text,false,,4175,442,1,1,73,0,11
1536299719964,62,Playstation 4,404,Not Found,Thread Group 1-3,text,false,,4176,442,1,1,61,0,0
1536299720028,61,Playstation 4,404,Not Found,Thread Group 1-3,text,false,,4174,442,1,1,61,0,0
