timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2018/08/13 14:02:59,10155,53546,200,OK,Thread Group 1-4,text,true,,527129,14951,5,5,8553,0,13
2018/08/13 14:02:59,10155,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527129,14951,5,5,8553,3,13
2018/08/13 14:03:05,4263,53546,200,OK,Thread Group 1-5,text,true,,527153,14951,5,5,2553,0,12
2018/08/13 14:03:05,4263,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527153,14951,5,5,2553,3,12
2018/08/13 14:02:53,16321,53546,200,OK,Thread Group 1-3,text,true,,527153,14951,5,5,14553,0,13
2018/08/13 14:02:53,16321,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527153,14951,5,5,14553,2,13
2018/08/13 14:02:41,28353,53546,200,OK,Thread Group 1-1,text,true,,527153,14951,5,5,26501,0,83
2018/08/13 14:02:41,28353,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527153,14951,5,5,26501,54,83
2018/08/13 14:02:47,22408,53546,200,OK,Thread Group 1-2,text,true,,527153,14951,5,5,20553,0,13
2018/08/13 14:02:47,22408,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527153,14951,5,5,20553,3,13
2018/08/13 14:03:09,1517,53546,200,OK,Thread Group 1-4,text,true,,527153,14951,5,5,1270,0,0
2018/08/13 14:03:09,1517,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527153,14951,5,5,1270,2,0
2018/08/13 14:03:09,1405,53546,200,OK,Thread Group 1-3,text,true,,527129,14951,5,5,1144,0,0
2018/08/13 14:03:09,1405,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527129,14951,5,5,1144,1,0
2018/08/13 14:03:09,1343,53546,200,OK,Thread Group 1-1,text,true,,527153,14951,5,5,1077,0,0
2018/08/13 14:03:09,1343,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527153,14951,5,5,1077,1,0
2018/08/13 14:03:09,1653,53546,200,OK,Thread Group 1-5,text,true,,527153,14951,5,5,1163,0,0
2018/08/13 14:03:09,1653,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527153,14951,5,5,1163,2,0
2018/08/13 14:03:09,1650,53546,200,OK,Thread Group 1-2,text,true,,527153,14951,6,6,1309,0,0
2018/08/13 14:03:09,1650,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527153,14951,6,6,1309,1,0
2018/08/13 14:03:10,1144,53546,200,OK,Thread Group 1-4,text,true,,527129,14951,6,6,889,0,0
2018/08/13 14:03:10,1144,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527129,14951,6,6,889,1,0
2018/08/13 14:03:10,1142,53546,200,OK,Thread Group 1-3,text,true,,527153,14951,6,6,880,0,0
2018/08/13 14:03:10,1142,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,527153,14951,6,6,880,1,0
2018/08/13 14:03:10,1156,53546,200,OK,Thread Group 1-1,text,true,,527129,14951,6,6,944,0,0
2018/08/13 14:03:10,1156,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,527129,14951,6,6,944,0,0
2018/08/13 14:03:11,1300,53546,200,OK,Thread Group 1-5,text,true,,527129,14951,6,6,834,0,0
2018/08/13 14:03:11,1300,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,527129,14951,6,6,834,1,0
2018/08/13 14:03:11,1222,53546,200,OK,Thread Group 1-6,text,true,,527153,14951,6,6,758,0,13
2018/08/13 14:03:11,1222,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,527153,14951,6,6,758,1,13
2018/08/13 14:03:11,2552,53546,200,OK,Thread Group 1-2,text,true,,527153,14951,6,6,1952,0,0
2018/08/13 14:03:11,2552,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,527153,14951,6,6,1952,1,0
2018/08/13 14:03:11,1802,53546,200,OK,Thread Group 1-4,text,true,,527153,14951,6,6,1195,0,0
2018/08/13 14:03:11,1802,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,527153,14951,6,6,1195,1,0
2018/08/13 14:03:11,1783,53546,200,OK,Thread Group 1-3,text,true,,527129,14951,6,6,1494,0,0
