timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534238135604,1503,Send Start Of Experiment,200,OK,setUp Thread Group 1-1,text,true,,162,407,1,1,1502,0,95
1534238161208,3035,Playstation 4,200,OK,Thread Group 1-5,text,true,,528841,14951,5,5,795,0,15
1534238137203,27046,Playstation 4,200,OK,Thread Group 1-1,text,true,,528888,14951,5,5,24568,0,28
1534238155207,9042,Playstation 4,200,OK,Thread Group 1-4,text,true,,528888,14951,5,5,6565,0,16
1534238143204,21053,Playstation 4,200,OK,Thread Group 1-2,text,true,,528841,14951,5,5,18567,0,15
1534238149207,15059,Playstation 4,200,OK,Thread Group 1-3,text,true,,528841,14951,5,5,12564,0,15
1534238164255,1389,Playstation 4,200,OK,Thread Group 1-4,text,true,,528888,14951,5,5,1192,0,17
1534238164258,1483,Playstation 4,200,OK,Thread Group 1-2,text,true,,528888,14951,5,5,1266,0,19
1534238164251,1496,Playstation 4,200,OK,Thread Group 1-1,text,true,,528864,14951,5,5,1274,0,18
1534238164261,2035,Playstation 4,200,OK,Thread Group 1-5,text,true,,528888,14951,5,5,1876,0,12
1534238165742,1007,Playstation 4,200,OK,Thread Group 1-2,text,true,,528841,14951,5,5,824,0,0
1534238165647,1104,Playstation 4,200,OK,Thread Group 1-4,text,true,,528888,14951,5,5,923,0,0
1534238165749,1255,Playstation 4,200,OK,Thread Group 1-1,text,true,,528888,14951,5,5,821,0,0
1534238166298,1462,Playstation 4,200,OK,Thread Group 1-5,text,true,,528841,14951,6,6,983,0,0
1534238164267,3700,Playstation 4,200,OK,Thread Group 1-3,text,true,,528841,14951,6,6,3526,0,17
1534238166756,1252,Playstation 4,200,OK,Thread Group 1-2,text,true,,528841,14951,6,6,1088,0,0
1534238166762,1589,Playstation 4,200,OK,Thread Group 1-4,text,true,,528864,14951,6,6,1336,0,0
1534238167207,1146,Playstation 4,200,OK,Thread Group 1-6,text,true,,528841,14951,6,6,972,0,13
1534238167005,1373,Playstation 4,200,OK,Thread Group 1-1,text,true,,528864,14951,6,6,1222,0,0
1534238167968,1047,Playstation 4,200,OK,Thread Group 1-3,text,true,,528888,14951,6,6,885,0,0
1534238168009,1311,Playstation 4,200,OK,Thread Group 1-2,text,true,,528888,14951,6,6,1076,0,0
1534238168352,1143,Playstation 4,200,OK,Thread Group 1-4,text,true,,528841,14951,6,6,979,0,0
1534238168354,1182,Playstation 4,200,OK,Thread Group 1-6,text,true,,528864,14951,6,6,1009,0,0
