timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536277052986,12349,Warmup Homepage,200,OK,setUp Thread Group 1-1,text,TRUE,,1428141,15999,1,1,10291,0,152
1536277065345,1155,Warmup Search,200,OK,setUp Thread Group 1-1,text,TRUE,,24511,14537,1,1,984,0,0
1536277066503,5101,Warmup Product Page,200,OK,setUp Thread Group 1-1,text,TRUE,,48288,16153,1,1,4468,0,0
1536277092658,1167,Send Start Of Experiment,200,OK,setUp Thread Group 1-1,text,TRUE,,234,534,1,1,1167,0,22
1536277096898,415,homepage,200,OK,Browse Thread Group 2-1,text,TRUE,,1427959,17079,1,2,192,0,12
1536277096877,497,homepage,200,OK,Order Thread Group 1-1,text,TRUE,,1427957,17079,1,2,198,0,12
1536277100584,448,search?query=ps4&category=all,200,OK,Order Thread Group 1-1,text,TRUE,,429990,21052,1,2,243,0,13
1536277100536,499,search?query=ps4&category=all,200,OK,Browse Thread Group 2-1,text,TRUE,,429965,21052,1,2,291,0,12
1536277101208,626,"playstation-4-console,-500gb-black",200,OK,Order Thread Group 1-1,text,TRUE,,258000,17348,1,2,103,0,0
1536277106925,675,ps4-console:-500gb-slim-(b-chassis)-with-fortnite-royal-bomber-pack,200,OK,Browse Thread Group 2-1,text,TRUE,,169554,17217,1,2,98,0,12
1536277110723,620,ps4-console:-500gb-slim-(new-model),200,OK,Order Thread Group 1-1,text,TRUE,,272030,18446,1,2,103,0,12
1536277110862,654,"playstation-4-console,-500gb-black",200,OK,Browse Thread Group 2-1,text,TRUE,,243318,18697,1,2,114,0,11
1536277117217,687,ps4-console:-500gb-slim-(b-chassis)-with-fortnite-royal-bomber-pack,200,OK,Order Thread Group 1-1,text,TRUE,,155152,19397,1,2,99,0,10
1536277117387,651,ps4-console:-500gb-slim-(new-model),200,OK,Browse Thread Group 2-1,text,TRUE,,272391,19281,1,2,125,0,11
1536277121253,414,search?query=nintendo+switch&category=all,200,OK,Browse Thread Group 2-1,text,TRUE,,637688,22108,1,2,249,0,11
1536277120948,1186,login,200,OK,Order Thread Group 1-1,text,TRUE,,12739,13398,1,2,655,0,11
1536277124934,1148,search?query=sennheiser&category=all,200,OK,Browse Thread Group 2-1,text,TRUE,,509836,23096,1,2,30,0,11
1536277125185,2437,register,200,OK,Order Thread Group 1-1,text,TRUE,,12766,13401,1,2,897,0,13
1536277129293,730,sale,200,OK,Browse Thread Group 2-1,text,TRUE,,13435,16705,1,2,620,0,11
1536277133211,193,phones,200,OK,Browse Thread Group 2-1,text,TRUE,,57839,17381,1,2,75,0,12
1536277136633,178,tablets,200,OK,Browse Thread Group 2-1,text,TRUE,,38300,16624,1,2,69,0,11
1536277140036,745,iphone-6s-16gb,200,OK,Browse Thread Group 2-1,text,TRUE,,442902,23393,1,2,200,0,11
1536277144018,673,ipad-pro-wi-fi-4g-128gb,200,OK,Browse Thread Group 2-1,text,TRUE,,1030084,24244,1,2,104,0,12
1536277147904,182,/computers,200,OK,Browse Thread Group 2-1,text,TRUE,,34004,17469,1,2,70,0,11
1536277151265,634,dell-xps-15-9550,200,OK,Browse Thread Group 2-1,text,TRUE,,306837,24321,1,2,98,0,12
1536277155120,794,headphones,200,OK,Browse Thread Group 2-1,text,TRUE,,311757,23953,1,2,87,0,12
1536277159129,668,jays-a-jays-five-white-ios-earphones,200,OK,Browse Thread Group 2-1,text,TRUE,,45834,22067,1,2,97,0,12
1536277159978,523,register,200,OK,Order Thread Group 1-1,text,TRUE,,22429,37954,1,2,320,0,13
1536277162993,625,jays-u-jays-white/gold-ios-headphones,200,OK,Browse Thread Group 2-1,text,TRUE,,29775,22067,1,2,96,0,11
1536277166820,398,beats,200,OK,Browse Thread Group 2-1,text,TRUE,,212497,20412,1,2,78,0,11
1536277166304,1389,user,200,OK,Order Thread Group 1-1,text,TRUE,,18844,22513,1,2,1293,0,12
1536277170398,646,beats?page=1&pageSize=10&maxPrice=138,200,OK,Browse Thread Group 2-1,text,TRUE,,14141,18422,1,2,93,0,11
1536277173479,613,user/address,200,OK,Order Thread Group 1-1,text,TRUE,,11565,22521,1,2,524,0,11
1536277174307,627,beats-by-dr-dre-studio-3-wireless-shadow-grey-headphones,200,OK,Browse Thread Group 2-1,text,TRUE,,60401,22086,1,2,95,0,11
1536277178163,642,beats-by-dr-dre-urbeats3-black-earphones,200,OK,Browse Thread Group 2-1,text,TRUE,,51152,22070,1,2,98,0,12
1536277179886,1391,user/address/create,200,OK,Order Thread Group 1-1,text,TRUE,,13731,25123,1,2,907,0,11
1536277182067,619,beats-by-dr-dre-urbeats3-white-earphones,200,OK,Browse Thread Group 2-1,text,TRUE,,43948,22070,1,2,99,0,11
1536277185883,621,beats-by-dr-dre-urbeats3-matte-gold-lightning-connector-earphones,200,OK,Browse Thread Group 2-1,text,TRUE,,33113,22095,1,2,92,0,11
1536277187526,74,api/states-provinces/3/districts,200,OK,Order Thread Group 1-1,text,TRUE,,232,1455,1,2,74,0,11
1536277189698,640,beats-solo-3-wireless-red-headphones,200,OK,Browse Thread Group 2-1,text,TRUE,,612151,24779,1,2,97,0,12
1536277193863,881,about-us,200,OK,Browse Thread Group 2-1,text,TRUE,,11241,12571,1,2,764,0,11
1536277197958,153,help-center/shipping,200,OK,Browse Thread Group 2-1,text,TRUE,,11250,12583,1,2,55,0,11
1536277201334,631,turtle-beach,200,OK,Browse Thread Group 2-1,text,TRUE,,13364,16713,1,2,72,0,13
1536277205145,624,sony-ps4-dual-shock-4-v2-wave-blue-controller,200,OK,Browse Thread Group 2-1,text,TRUE,,50574,22075,1,2,100,0,11
1536277209032,636,homepage,200,OK,Browse Thread Group 2-1,text,TRUE,,14244,19299,1,2,61,0,11
1536277242850,248,user/address/create,200,OK,Order Thread Group 1-1,text,TRUE,,18931,25865,1,1,119,0,12
1536277246305,586,user/address,200,OK,Order Thread Group 1-1,text,TRUE,,18808,22697,1,1,46,0,11
1536277250112,209,search?query=nintendo+switch&category=all,200,OK,Order Thread Group 1-1,text,TRUE,,637892,40906,1,1,68,0,10
1536277256232,1653,nintendo-switch-console-neon-red-/-neon-blue,200,OK,Order Thread Group 1-1,text,TRUE,,36513,31440,1,1,92,0,11
1536277270285,584,cart/addtocart,200,OK,Order Thread Group 1-1,text,TRUE,,1076,4605,1,1,120,0,12
1536277274221,48,cart/AddToCartResult?productId=40,200,OK,Order Thread Group 1-1,text,TRUE,,935,2920,1,1,36,0,11
1536277277510,193,search?query=nintendo+switch&category=all,200,OK,Order Thread Group 1-1,text,TRUE,,16070,41410,1,1,74,0,11
1536277283606,617,nintendo-switch-pro-controller,200,OK,Order Thread Group 1-1,text,TRUE,,77369,32984,1,1,93,0,11
1536277296596,82,cart/addtocart,200,OK,Order Thread Group 1-1,text,TRUE,,1071,4605,1,1,44,0,12
1536277303346,908,cart,200,OK,Order Thread Group 1-1,text,TRUE,,322077,27005,1,1,774,0,11
1536277307578,48,cart/AddToCartResult?productId=50,200,OK,Order Thread Group 1-1,text,TRUE,,930,2920,1,1,36,0,11
1536277311137,96,Cart/List,200,OK,Order Thread Group 1-1,text,TRUE,,651,1370,1,1,96,0,11
1536277317353,2034,checkout/shipping,200,OK,Order Thread Group 1-1,text,TRUE,,14879,25049,1,1,1294,0,10
1536277322922,248,checkout/update-tax-and-shipping-prices,200,OK,Order Thread Group 1-1,text,TRUE,,713,1623,1,1,247,0,11
1536277330886,1276,checkout/shipping,200,OK,Order Thread Group 1-1,text,TRUE,,19004,25996,1,1,66,0,11
1536277335282,161,checkout/payment,200,OK,Order Thread Group 1-1,text,TRUE,,18860,22669,1,1,56,0,11
1536277349702,820,CoD/CoDCheckout,200,OK,Order Thread Group 1-1,text,TRUE,,18576,25664,1,1,326,0,12
1536277354444,133,checkout/congratulation,200,OK,Order Thread Group 1-1,text,TRUE,,18447,22660,1,1,44,0,11
