timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1533660775126,2468,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,1,1,874,0,125
1533660775047,2468,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,1,1,874,81,125
1533660777597,917,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,1,1,710,0,0
1533660777596,917,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,1,1,710,5,0
1533660778519,1218,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,1,1,1014,0,0
1533660778518,1218,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,1,1,1014,2,0
1533660779739,1108,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,1,1,939,0,0
1533660779739,1108,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,1,1,939,3,0
1533660780851,937,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,2,2,797,0,0
1533660780850,937,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,2,2,797,2,0
1533660781790,1059,53546,200,OK,Thread Group 1-1,text,true,,528841,14951,2,2,879,0,0
1533660781789,1059,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528841,14951,2,2,879,2,0
1533660781067,2481,53546,200,OK,Thread Group 1-2,text,true,,528865,14951,2,2,2302,0,13
1533660781066,2481,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,528865,14951,2,2,2302,2,13
1533660783550,1349,53546,200,OK,Thread Group 1-2,text,true,,528841,14951,2,2,1180,0,0
1533660783549,1349,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,528841,14951,2,2,1180,2,0
1533660784901,970,53546,200,OK,Thread Group 1-2,text,true,,528841,14951,2,2,760,0,0
1533660784901,970,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,528841,14951,2,2,760,1,0
1533660782851,3023,53546,200,OK,Thread Group 1-1,text,true,,528865,14951,2,2,2811,0,0
1533660782851,3023,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528865,14951,2,2,2811,1,0
1533660785875,965,53546,200,OK,Thread Group 1-1,text,true,,528841,14951,2,2,807,0,0
1533660785875,965,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,528841,14951,2,2,807,1,0
1533660785873,1062,53546,200,OK,Thread Group 1-2,text,true,,528841,14951,2,2,890,0,0
1533660785872,1062,Homepage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,528841,14951,2,2,890,2,0
1533660786842,1019,53546,200,OK,Thread Group 1-1,text,true,,528841,14951,3,3,848,0,0
